UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÇAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÉE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÉALISATION
73276,"Secret Life of Marilyn Monroe, The","Vie secrète de Marilyn Monroe, La",US,,,,,,2015,0,Drame biographique,2018-01-06T23:05:00,Laurie Collyer 
27125,Fantastic Voyage,"Voyage fantastique, Le",US,,,,,,1966,3,Science-fiction,2018-01-07T02:05:00,Richard Fleischer 
1362,Toy Story 2,Histoire de jouets 2,US,,,,,,1999,3,Film d'animation,2018-01-07T15:00:00,John Lasseter 
22180,Ordinary People,Des gens comme les autres,US,,,,,,1980,3,Drame psychologique,2018-01-08T00:30:00,Robert Redford 
38401,Anything Else,"Vie et tout le reste, La",US,,,,,,2003,4,Comédie de moeurs,2018-01-08T02:30:00,Woody Allen 
56350,Starbuck,Starbuck,CA,QC,,,,,2011,4,Comédie,2018-01-12T23:05:00,Ken Scott 
46352,Case départ,Case départ,FR,,,,,,2011,6,Comédie fantaisiste,2018-01-13T01:05:00,"Lionel Steketee, Thomas Ngijol, Fabrice Éboué "
41528,"Boys IV, Les","Boys IV, Les",CA,QC,,,,,2005,5,Comédie,2018-01-14T02:02:00,George Mihalka 
46654,Up,Là-haut,US,,,,,,2009,4,Film d'animation,2018-01-14T15:00:00,Pete Docter 
54749,On the Road,Sur la route,US,,,,,,2011,4,Drame de moeurs,2018-01-15T00:22:00,Walter Salles 
1895,"Curse of the Jade Scorpion, The","Sortilège du scorpion de jade, Le",US,,,,,,2001,4,Comédie,2018-01-15T02:22:00,Woody Allen 
70075,Montréal la Blanche,Montréal la Blanche,CA,QC,,,,,2016,4,Drame,2018-01-19T23:05:00,Bachir Bensaddek 
45680,"Premier Jour du reste de ta vie, Le","Premier Jour du reste de ta vie, Le",FR,,,,,,2008,4,Comédie dramatique,2018-01-20T00:30:00,Rémi Bezançon 
18094,Camille Claudel,Camille Claudel,FR,,,,,,1988,3,Drame biographique,2018-01-21T02:02:00,Bruno Nuytten 
62691,Secret of the Wings,Clochette et le secret des fées,US,,,,,,2012,5,Film d'animation,2018-01-21T15:00:00,Peggy Holmes 
39556,Confidences trop intimes,Confidences trop intimes,FR,,,,,,2003,4,Drame sentimental,2018-01-22T00:23:00,Patrice Leconte 
60466,Seeking a Friend for the End of the World,Recherche ami pour partager fin du monde,US,SG,MY,ID,,,2012,5,Comédie dramatique,2018-01-22T02:23:00,Lorene Scafaria 
49769,Frisson des collines,Frisson des collines,CA,QC,,,,,2010,4,Comédie dramatique,2018-01-26T23:05:00,Richard Roy 
46621,Voyez comme ils dansent,Voyez comme ils dansent,FR,CA,CH,,,,2011,5,Drame psychologique,2018-01-27T00:50:00,Claude Miller 
4803,"Elephant Man, The","Homme éléphant, L' ",GB,,,,,,1980,2,Drame de moeurs,2018-01-28T02:02:00,David Lynch 
48538,"Princess and the Frog, The","Princesse et la grenouille, La",US,,,,,,2009,4,Film d'animation,2018-01-28T15:00:00,"Ron Clements, John Musker "
66855,Boyhood,Jeunesse,US,,,,,,2014,3,Chronique,2018-01-29T00:23:00,Richard Linklater 
60517,Maïna,Maïna,CA,,,,,,2012,5,Aventures,2018-02-02T23:05:00,Michel Poulette 
59283,John A: The Birth of a Country,John A. - La naissance d'un pays,CA,,,,,,2011,0,Drame historique,2018-02-03T00:50:00,Jerry Ciccoritti 
242,"First Wives Club, The","Club des ex, Le",US,,,,,,1996,4,Comédie,2018-02-04T02:02:00,Hugh Wilson 
50968,En terrains connus,En terrains connus,CA,QC,,,,,2010,3,Comédie dramatique,2018-02-05T00:23:00,Stéphane Lafleur 
58763,Tout ce que tu possèdes,Tout ce que tu possèdes,CA,QC,,,,,2012,4,Drame psychologique,2018-02-05T01:53:00,Bernard Émond 
17909,Gorillas in the Mist,Gorilles dans la brume,US,,,,,,1988,3,Drame biographique,2018-02-26T00:23:00,Michael Apted 
32266,How to Marry a Millionaire,Comment épouser un millionnaire,US,,,,,,1953,5,Comédie,2018-02-26T02:30:00,Jean Negulesco 
21430,Au clair de la lune,Au clair de la lune,CA,QC,,,,,1982,3,Comédie fantaisiste,2018-03-02T23:05:00,André Forcier 
59526,Butter,"Recette du succès, La",US,,,,,,2011,4,Comédie,2018-03-03T01:05:00,Jim Field Smith 
69791,Carta a Eva,Lettre à Evita,ES,,,,,,2012,0,Drame historique,2018-03-04T02:02:00,Agusti Villaronga 
57827,"Muppets, The","Muppets, Les",US,,,,,,2011,3,Comédie fantaisiste,2018-03-04T15:00:00,James Bobin 
57344,Midnight in Paris,Minuit à Paris,US,ES,,,,,2011,4,Comédie fantaisiste,2018-03-05T00:23:00,Woody Allen 
29416,Ocean's Eleven,"Inconnu de Las Vegas, L'",US,,,,,,1960,5,Comédie dramatique,2018-03-05T01:58:00,Lewis Milestone 
12019,"Aile ou la cuisse, L'","Aile ou la cuisse, L'",FR,,,,,,1976,4,Comédie,2018-03-11T01:30:00,Claude Zidi 
15087,Indochine,Indochine,FR,,,,,,1991,4,Chronique,2018-03-12T00:23:00,Régis Wargnier 
23745,"China Syndrome, The","Syndrome chinois, Le",US,,,,,,1978,3,Drame social,2018-03-12T03:00:00,James Bridges 
73534,Ce qu'on a,Ce qu'on a,CA,,,,,,2014,4,Drame,2018-03-17T00:35:00,Maxime Desmons 
68658,Every Thing Will Be Fine,"Meilleur temps viendra, Un",DE,CA,FR,SE,NO,,2015,4,Drame psychologique,2018-03-18T02:00:00,Wim Wenders 
2397,Path to War,Sur le chemin de la guerre,US,,,,,,2002,3,Drame politique,2018-03-19T01:53:00,John Frankenheimer 
66894,Wish I Was Here,"Rôle de ma vie, Le",US,,,,,,2013,5,Comédie dramatique,2018-03-24T01:00:00,Zach Braff 
55396,"King's Speech, The","Discours du roi, Le",GB,AU,,,,,2010,4,Drame historique,2018-03-25T02:00:00,Tom Hooper 
11655,Pinocchio,Pinocchio,US,,,,,,1940,3,Film d'animation,2018-03-25T15:00:00,"Hamilton Luske, Ben Sharpsteen "
65540,Attila Marcel,Attila Marcel,FR,,,,,,2013,4,Comédie fantaisiste,2018-03-26T01:25:00,Sylvain Chomet 
64144,Louis Cyr - L'homme le plus fort du monde,Louis Cyr - L'homme le plus fort du monde,CA,QC,,,,,2013,4,Drame biographique,2018-03-30T23:45:00,Daniel Roby 
